road_link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,volume_at_vo,volume_at_v,volume_at_p,resource_balance,notes
1,1,2,0700_0800,0.000,2.000,0.300,0.000,60.000,0.000,0.000,18000.000,period-based
2,2,1,0700_0800,996.732,2.000,1350.000,9.967,120.000,0.000,996.732,35003.270,period-based
3,1,5,0700_0800,500.000,1.000,2700.000,5.000,0.000,0.000,500.000,-500.000,period-based
4,2,5,0700_0800,3.268,1.000,0.600,0.033,0.000,0.000,3.268,-3.268,period-based
5,1,3,0700_0800,1496.732,2.000,0.300,14.967,120.000,0.000,1496.732,34503.270,period-based
6,3,1,0700_0800,0.000,2.000,0.300,0.000,0.000,0.000,0.000,0.000,period-based
7,5,6,0700_0800,503.268,1.000,0.600,5.033,0.000,0.000,503.268,-503.268,period-based
8,6,3,0700_0800,3.268,1.000,0.600,0.033,0.000,0.000,3.268,-3.268,period-based
9,6,4,0700_0800,500.000,1.000,0.600,5.000,0.000,0.000,500.000,-500.000,period-based
10,3,4,0700_0800,500.000,2.000,0.300,5.000,60.000,0.000,500.000,17500.000,period-based
11,4,3,0700_0800,0.000,2.000,0.300,0.000,0.000,0.000,0.000,0.000,period-based
12,2,4,0700_0800,0.000,2.000,0.300,0.000,0.000,0.000,0.000,0.000,period-based
13,4,2,0700_0800,0.000,2.000,0.300,0.000,0.000,0.000,0.000,0.000,period-based
